127.0.0.1 - - [12/Mar/2026:19:14:14 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:14:17 +0530] "GET /APP-Student-Mgmt-System/UpdateStudent.jsp HTTP/1.1" 500 2513
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:14:17 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:14:45 +0530] "GET /APP-Student-Mgmt-System/ HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:14:52 +0530] "GET /APP-Student-Mgmt-System/update HTTP/1.1" 200 4900
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:15:52 +0530] "GET /APP-Student-Mgmt-System/update HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:00 +0530] "GET /APP-Student-Mgmt-System/delete?srno=&sbtn=Refresh HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:01 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:04 +0530] "GET /APP-Student-Mgmt-System/delete?srno=&sbtn=Refresh HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:16 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:48 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4867
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:53 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:16:53 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4867
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:17:30 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:17:33 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:17:33 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:18:54 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:22:01 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4817
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:22:05 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:22:07 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4817
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:35 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:37 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4900
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:39 +0530] "GET /APP-Student-Mgmt-System/update?srno=&sbtn=Refresh HTTP/1.1" 200 4900
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:43 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:45 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:45 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [12/Mar/2026:19:44:45 +0530] "POST /APP-Student-Mgmt-System/update HTTP/1.1" 200 9
